Country Name,Country Code,1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Iceland,ISL,6.79,11.22,14.81,27.48,36.26,41.29,44.47,49.39,79.12,83.14,83.88,87.00,89.51,90.60,91.00,93.00,93.39,94.82,96.21,96.55,98.16,98.20,98.24
Norway,NOR,4.15,6.42,18.25,20.42,22.56,40.00,52.00,64.00,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.49,94.65,95.05,96.30,96.81,97.30
Japan,JPN,0.80,1.59,4.37,9.16,13.41,21.39,29.99,38.53,46.59,48.44,62.39,66.92,68.69,74.30,75.40,78.00,78.21,79.05,79.50,88.22,89.11,91.06,93.18
United Kingdom,GBR,1.04,1.90,4.12,7.39,13.67,21.29,26.82,33.48,56.48,64.82,65.61,70.00,68.82,75.09,78.39,83.56,85.00,85.38,87.48,89.84,91.61,92.00,94.78
Canada,CAN,2.38,4.16,6.76,15.07,24.90,36.19,51.30,60.20,61.59,64.20,65.96,71.66,72.40,73.20,76.70,80.30,80.30,83.00,83.00,85.80,87.12,90.00,91.16
Germany,DEU,0.92,1.84,3.05,6.71,9.88,20.85,30.22,31.65,48.82,55.90,64.73,68.71,72.16,75.16,78.00,79.00,82.00,81.27,82.35,84.17,86.19,87.59,84.17
New Zealand,NZL,3.17,4.88,8.04,14.60,31.64,41.49,47.38,53.24,59.08,60.96,61.85,62.72,69.00,69.76,72.03,79.70,80.46,81.23,81.64,82.78,84.00,85.20,86.50
Israel,ISR,0.58,0.93,2.17,4.40,10.31,13.44,20.87,17.38,17.76,19.59,22.77,25.19,27.88,48.13,59.39,63.12,67.50,68.87,70.80,70.25,75.02,77.35,79.65
India,IND,0.00,0.03,0.05,0.07,0.14,0.27,0.53,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.50,10.07,11.10,12.30,13.50,14.90,16.50
France,FRA,0.90,1.64,2.58,4.26,6.32,9.13,14.31,26.33,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75,78.01,79.27
United States,USA,4.86,9.24,16.42,21.62,30.09,35.85,43.08,49.08,58.79,61.70,64.76,67.97,68.93,75.00,74.00,71.00,71.69,69.73,74.70,71.40,73.00,74.55,85.54
Argentina,ARG,0.04,0.09,0.14,0.28,0.83,3.28,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34.00,45.00,51.00,55.80,59.90,64.70,68.04,70.97
Brazil,BRA,0.04,0.11,0.45,0.79,1.48,2.04,2.87,4.53,9.15,13.21,19.07,21.02,28.18,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55,58.33,60.87
Chile,CHL,0.14,0.35,0.68,1.06,1.66,4.10,16.60,19.10,22.10,25.47,28.18,31.18,34.50,35.90,37.30,41.56,45.00,52.25,55.05,58.00,61.11,76.63,83.56
Italy,ITA,0.19,0.52,1.02,2.28,4.56,14.38,23.11,27.22,28.04,29.04,33.24,35.00,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.32
Mexico,MEX,0.04,0.10,0.20,0.63,1.27,1.86,5.08,7.04,11.90,12.90,14.10,17.21,19.52,20.81,21.71,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54
South Africa,ZAF,0.25,0.68,0.84,1.63,2.91,4.12,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10.00,24.00,33.97,41.00,46.50,49.00,51.92,54.00
China,CHN,0.00,0.00,0.01,0.03,0.17,0.71,1.78,2.64,4.60,6.20,7.30,8.52,10.52,16.00,22.60,28.90,34.30,38.30,42.30,45.80,47.90,50.30,53.20
Algeria,DZA,0.00,0.00,0.00,0.01,0.02,0.20,0.49,0.65,1.59,2.20,4.63,5.84,7.38,9.45,10.18,11.23,12.50,14.90,18.20,22.50,29.50,38.20,42.95
Kenya,KEN,0.00,0.00,0.01,0.03,0.05,0.11,0.32,0.62,1.21,2.94,3.02,3.10,3.60,4.40,5.20,6.10,7.20,8.80,10.50,13.00,16.50,16.59,16.60
