Country Name,Country Code,Life Expectancy
Canada,CAN,80.54
Peru,PER,73.22
Panama,PAN,76.15
Colombia,COL,73.84
Costa Rica,CRI,78.46
Puerto Rico,PRI,77.62
Chile,CHL,77.83
Cuba,CUB,77.31
United States,USA,77.98
Uruguay,URY,76.50
Mexico,MEX,74.24
Argentina,ARG,75.01
Ecuador,ECU,74.84
"Venezuela, RB",VEN,73.06
Nicaragua,NIC,69.56
Jamaica,JAM,71.42
Brazil,BRA,72.37
Dominican Republic,DOM,71.37
El Salvador,SLV,71.11
Paraguay,PRY,71.11
Guatemala,GTM,70.10
Honduras,HND,70.38
Trinidad and Tobago,TTO,71.65
Bolivia,BOL,65.03
Haiti,HTI,61.10
